paper_key,file,page,value,unit,topic,gravity_context,snippet
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,2,1,at%,alloy composition,earth-vs-microgravity comparison,"an alloy of bismuth with 1 at% tin. It combines ground-based experiments and a series of experiments conducted in a microgravity environment. Part of this program is a numerical modelling of the solidiﬁcation process. The MEPHISTO apparatus, shown sc"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,9,2.2,%,alloy composition,earth/1g,"formulation. Validation of the CFX results was in turn obtained by a comparison of calculations with an ex- periment in earth gravity using succinonitrile [14]. The agreement between SOLCON and CFX was excellent: within 2.2% for some relevant quantities. The computations were performed for 8000 s (ap- proximately 27 mm) of solidiﬁcation. When solidiﬁ- cation ﬁrst starts, the positive temperature gradient in front of the interface leads to a"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,1,1,mg,gravity/time/facility,earth-vs-microgravity comparison,"ction is eliminated or at least decreased to a level at which crystal growth is largely controlled by di/C128usion. Residual acceler- ations in orbiting space vehicles are of the order of one to several hundred mg (where 1 mg = 9.81 10 ÿ6 msÿ2). For this reason, much e/C128ort has been expended in recent years in performing crystal growth exper- iments in the microgravity environment of a spacecraft in earth orbit. Such e/C128ects as compos"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,1,6,ms,gravity/time/facility,earth-vs-microgravity comparison,"d or at least decreased to a level at which crystal growth is largely controlled by di/C128usion. Residual acceler- ations in orbiting space vehicles are of the order of one to several hundred mg (where 1 mg = 9.81 10 ÿ6 msÿ2). For this reason, much e/C128ort has been expended in recent years in performing crystal growth exper- iments in the microgravity environment of a spacecraft in earth orbit. Such e/C128ects as compositional and kin-"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,9,27,mm,length scale/microstructure,earth/1g,"s with an ex- periment in earth gravity using succinonitrile [14]. The agreement between SOLCON and CFX was excellent: within 2.2% for some relevant quantities. The computations were performed for 8000 s (ap- proximately 27 mm) of solidiﬁcation. When solidiﬁ- cation ﬁrst starts, the positive temperature gradient in front of the interface leads to a negative density gradi- ent, and the predominant ﬂow direction is downwards (in the direction o"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,1,10,mg,thermal condition,microgravity/space,"on of solute, shape and position of the solid/liquid interface are investigated. A vorticity– stream function formulation is used for calculation of the velocity ﬁelds. The results presented include calculations at 1 and 10 mg, both neglecting and including the dependence of melting temperature on concentration. # 2000 Published by Elsevier Science Ltd. All rights reserved. Keywords: Crystal growth; Solidiﬁcation; Microgravity; Bridgman furna"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,7,0.46,wt%,alloy composition,microgravity/space,joint NASA/CNES research program. Two series 22 of microgravity experiments were performed in 2010 -2011 and in 2017-2018 on samples of 23 different compositions (succinonitrile based alloys with respectively 0.24 and 0.46 wt% of 24 camphor). 25 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,11,0.24,wt%,alloy composition,earth-vs-microgravity comparison,"10 3. Selected results concerning the solidification in 3D transparent samples 1 In this section, the microgravity (referred as µg) experiments conducted on a sample of 2 Succinonitrile – 0.24wt% Camphor are compared to Earth (referred as 1g) experiments 3 performed after the return on Earth of the sample. The experimental conditions used were the 4 same for both experiments so that the influence of convection"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,16,20,wt%,alloy composition,microgravity/space,"e 19 conditions are not reached on the contrary to higher velocity µg experiments. 20 21 4. Examples of results in metal alloys 22 In this section, the influence of gravity-driven phenomena on columnar growth of Al-20wt%Cu 23 alloys will be presented. We will focus on two issues of great importance for industrial 24 application, namely dendrite fragmentation and plume formation. 25 1 2 3 4 5 6 7 8 9 10 11 12 13"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,18,20,wt%,alloy composition,earth-vs-microgravity comparison,"K/mm 6 between the heaters and a cooling rate R = 0.15 K/s), which ease the analysis and give clear 7 conclusions. 8 Figure 6 displays the time evolution of the interface pattern during the solidification of an Al - 9 20 wt% Cu alloy in microgravity conditions (f irst row), and for two reference experiments at 10 normal gravity. The second row depicts the case of horizontal solidification configuration for 11 which the gravity effects are"
