paper_key,topic,gravity_context,snippet_count
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,gravity/time/facility,earth-vs-microgravity comparison,2
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,alloy composition,earth-vs-microgravity comparison,1
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,alloy composition,earth/1g,1
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,length scale/microstructure,earth/1g,1
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,thermal condition,microgravity/space,1
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,growth/velocity,earth-vs-microgravity comparison,8
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,thermal condition,earth-vs-microgravity comparison,7
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,thermal condition,microgravity/space,5
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,alloy composition,microgravity/space,4
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,length scale/microstructure,microgravity/space,4
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,alloy composition,earth-vs-microgravity comparison,3
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,length scale/microstructure,earth-vs-microgravity comparison,2
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,thermal condition,earth/1g,2
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,alloy composition,earth/1g,1
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,growth/velocity,microgravity/space,1
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,thermophysical/mechanical property,earth/1g,1
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,thermophysical/mechanical property,microgravity/space,1
Benchmark Al-Cu Solidification Experiments in Microgravity and on Earth_Thomas,length scale/microstructure,earth/1g,9
Benchmark Al-Cu Solidification Experiments in Microgravity and on Earth_Thomas,length scale/microstructure,microgravity/space,5
Benchmark Al-Cu Solidification Experiments in Microgravity and on Earth_Thomas,field/power,microgravity/space,1
Benchmark Al-Cu Solidification Experiments in Microgravity and on Earth_Thomas,length scale/microstructure,earth-vs-microgravity comparison,1
Benchmark Al-Cu Solidification Experiments in Microgravity and on Earth_Thomas,thermal condition,microgravity/space,1
Benchmark microgravity experiments and computations for 3D dendritic-array stability in directional solidification,thermal condition,microgravity/space,5
Benchmark microgravity experiments and computations for 3D dendritic-array stability in directional solidification,alloy composition,microgravity/space,4
Benchmark microgravity experiments and computations for 3D dendritic-array stability in directional solidification,length scale/microstructure,microgravity/space,3
Benchmark microgravity experiments and computations for 3D dendritic-array stability in directional solidification,growth/velocity,microgravity/space,2
Benchmark microgravity experiments and computations for 3D dendritic-array stability in directional solidification,gravity/time/facility,microgravity/space,1
CONTAINERLESS UNDERCOOLING AND SOLIDIFICATION OF PURE METALS,alloy composition,microgravity/space,1
CONTAINERLESS UNDERCOOLING AND SOLIDIFICATION OF PURE METALS,length scale/microstructure,microgravity/space,1
CONTAINERLESS UNDERCOOLING AND SOLIDIFICATION OF PURE METALS,thermal condition,microgravity/space,1
