paper_key,file,page,value,unit,topic,gravity_context,snippet
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,1,10,mg,thermal condition,microgravity/space,"on of solute, shape and position of the solid/liquid interface are investigated. A vorticity– stream function formulation is used for calculation of the velocity ﬁelds. The results presented include calculations at 1 and 10 mg, both neglecting and including the dependence of melting temperature on concentration. # 2000 Published by Elsevier Science Ltd. All rights reserved. Keywords: Crystal growth; Solidiﬁcation; Microgravity; Bridgman furna"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,1,1,mg,gravity/time/facility,earth-vs-microgravity comparison,"ction is eliminated or at least decreased to a level at which crystal growth is largely controlled by di/C128usion. Residual acceler- ations in orbiting space vehicles are of the order of one to several hundred mg (where 1 mg = 9.81 10 ÿ6 msÿ2). For this reason, much e/C128ort has been expended in recent years in performing crystal growth exper- iments in the microgravity environment of a spacecraft in earth orbit. Such e/C128ects as compos"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,1,6,ms,gravity/time/facility,earth-vs-microgravity comparison,"d or at least decreased to a level at which crystal growth is largely controlled by di/C128usion. Residual acceler- ations in orbiting space vehicles are of the order of one to several hundred mg (where 1 mg = 9.81 10 ÿ6 msÿ2). For this reason, much e/C128ort has been expended in recent years in performing crystal growth exper- iments in the microgravity environment of a spacecraft in earth orbit. Such e/C128ects as compositional and kin-"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,2,1,at%,alloy composition,earth-vs-microgravity comparison,"an alloy of bismuth with 1 at% tin. It combines ground-based experiments and a series of experiments conducted in a microgravity environment. Part of this program is a numerical modelling of the solidiﬁcation process. The MEPHISTO apparatus, shown sc"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,6,0,k,thermal condition,unspecified,"he control volume approach. This ensures mass balance during phase change in the partially solidiﬁed control volume. Integration of Eq. (26) over a control volume and dis- cretization uniformly in each direction yields C0 k i,jÿ C0 kÿ1 i,j Dt DxDy Fi1=2,jÿ Fiÿ1=2,j Fi,j1=2 ÿ Fi,jÿ1=2  1 Le "" D0 i1=2,j C0 i1,jÿ C0 i,j Dx ÿ D0 iÿ1=2,j C0 i,jÿ C0 iÿ1,j Dx  Dy  D0 i,j1=2 C0 i,j1ÿ C0 i,j Dy ÿ D0 i,jÿ1=2 C0 i,jÿ C0 i,jÿ1 Dy ! Dx #"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,42,mm,length scale/microstructure,unspecified,"cedure is repeated. 4. Results and discussion 4.1. Constant melting temperature The ﬁrst results presented were obtained with the assumption that Tm does not vary with concentration. Calculations were made for an ampoule 42 mm long and 6 mm across. The magnitude of the gravity vector was taken to be 10 mg, i.e., 9.81  10ÿ5 msÿ2, acting in a direction normal to the x-axis of the ampoule. The property values of pure liquid bismuth at a refer-"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,6,mm,length scale/microstructure,unspecified,"ted. 4. Results and discussion 4.1. Constant melting temperature The ﬁrst results presented were obtained with the assumption that Tm does not vary with concentration. Calculations were made for an ampoule 42 mm long and 6 mm across. The magnitude of the gravity vector was taken to be 10 mg, i.e., 9.81  10ÿ5 msÿ2, acting in a direction normal to the x-axis of the ampoule. The property values of pure liquid bismuth at a refer- ence temperatu"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,10,mg,thermal condition,unspecified,"The ﬁrst results presented were obtained with the assumption that Tm does not vary with concentration. Calculations were made for an ampoule 42 mm long and 6 mm across. The magnitude of the gravity vector was taken to be 10 mg, i.e., 9.81  10ÿ5 msÿ2, acting in a direction normal to the x-axis of the ampoule. The property values of pure liquid bismuth at a refer- ence temperature of 271.3 8C (the equilibrium melting temperature) were used (Ta"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,5,ms,gravity/time/facility,unspecified,"ed were obtained with the assumption that Tm does not vary with concentration. Calculations were made for an ampoule 42 mm long and 6 mm across. The magnitude of the gravity vector was taken to be 10 mg, i.e., 9.81  10ÿ5 msÿ2, acting in a direction normal to the x-axis of the ampoule. The property values of pure liquid bismuth at a refer- ence temperature of 271.3 8C (the equilibrium melting temperature) were used (Table 1). The computatio"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,1,at%,alloy composition,unspecified,"ure liquid bismuth at a refer- ence temperature of 271.3 8C (the equilibrium melting temperature) were used (Table 1). The computational domain initially contained only liquid Bi with a uniform solute concentration C0 of 1 at% Sn and a uniform temperature of 700 8C. The cold end of the ampoule (the left end) had an initial tem- perature of 272 8C. Along the top and bottom bound- aries, the temperature increased from the left at 20 K/ mm and c"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,20,K/ mm,length scale/microstructure,unspecified,"ion C0 of 1 at% Sn and a uniform temperature of 700 8C. The cold end of the ampoule (the left end) had an initial tem- perature of 272 8C. Along the top and bottom bound- aries, the temperature increased from the left at 20 K/ mm and continued over a length of 21.4 mm until 7008C was reached. From that position onward, the temperature remained constant. The right end of the computational domain had a constant temperature of 7008C. Numerical expe"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,21.4,mm,length scale/microstructure,unspecified,"ture of 700 8C. The cold end of the ampoule (the left end) had an initial tem- perature of 272 8C. Along the top and bottom bound- aries, the temperature increased from the left at 20 K/ mm and continued over a length of 21.4 mm until 7008C was reached. From that position onward, the temperature remained constant. The right end of the computational domain had a constant temperature of 7008C. Numerical experimentation showed that the presence of"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,3.34,mm/s,growth/velocity,unspecified,"wall at 42 mm had no e/C128ect on the sol- idiﬁcation or the ﬂow near the interface for the few mm of solid that were formed. The pulling velocity — the rate of translation of the boundary temperature distribution — was 3.34 mm/s (one of the values used in the MEPHISTO experiment), and was also imposed from t> 0: Solidiﬁcation occurred from left to right as time progressed. The cold end temperature decreased with time in accordance with the impo"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,0.2,mm,length scale/microstructure,unspecified,"8C was reached; thereafter it was kept at 50 8C. This temperature distri- bution was imposed at the liquid boundary, i.e., con- duction in the ampoule was not considered. 2 A uniform square mesh of 210  30 cells (0.2  0.2 mm) was used. Some calculations were also made with Table 1 Property values and other quantities used in the computations Property Symbol Value Density r 10,070 kg/m 3 Speciﬁc heat cp 144.87 J/kg K Thermal conductivity l 1"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,070,k,thermal condition,unspecified,"nsidered. 2 A uniform square mesh of 210  30 cells (0.2  0.2 mm) was used. Some calculations were also made with Table 1 Property values and other quantities used in the computations Property Symbol Value Density r 10,070 kg/m 3 Speciﬁc heat cp 144.87 J/kg K Thermal conductivity l 12.4 W/m K Thermal di/C128usivity a 8.500 10ÿ6 m2/s Viscosity m 1.85 10ÿ3 kg/m s Di/C128usion coecient for Sn in Bi D 2.7 10ÿ9 m2/s Thermal expansion coecie"
